2025-12-23 09:18:24,392 INFO    MainThread:1241464 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_setup.py:_flush():80] Configure stats pid to 1241464
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_setup.py:_flush():80] Loading settings from /nfs/home/students/a.spannagl/.config/wandb/settings
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_setup.py:_flush():80] Loading settings from /nfs/scratch/pinder/negative_dataset/my_repository/scripts/wandb/settings
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /nfs/scratch/pinder/negative_dataset/my_repository/scripts/wandb/run-20251223_091824-cdkynqfi/logs/debug.log
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /nfs/scratch/pinder/negative_dataset/my_repository/scripts/wandb/run-20251223_091824-cdkynqfi/logs/debug-internal.log
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_init.py:init():830] calling init triggers
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'baseline2d', 'dataset': '/nfs/scratch/pinder/negative_dataset/my_repository/datasets/no_duplicates/deleak_cdhit/fully_balanced', 'batch_size': 4, 'epochs': 5, 'weight_decay': 1e-05, 'dropout': 0.5, '_wandb': {}}
2025-12-23 09:18:24,393 INFO    MainThread:1241464 [wandb_init.py:init():871] starting backend
2025-12-23 09:18:24,609 INFO    MainThread:1241464 [wandb_init.py:init():874] sending inform_init request
2025-12-23 09:18:24,617 INFO    MainThread:1241464 [wandb_init.py:init():882] backend started and connected
2025-12-23 09:18:24,618 INFO    MainThread:1241464 [wandb_init.py:init():953] updated telemetry
2025-12-23 09:18:24,631 INFO    MainThread:1241464 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-12-23 09:18:25,220 INFO    MainThread:1241464 [wandb_init.py:init():1029] starting run threads in backend
2025-12-23 09:18:25,420 INFO    MainThread:1241464 [wandb_run.py:_console_start():2458] atexit reg
2025-12-23 09:18:25,420 INFO    MainThread:1241464 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-12-23 09:18:25,420 INFO    MainThread:1241464 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-12-23 09:18:25,420 INFO    MainThread:1241464 [wandb_run.py:_redirect():2398] Redirects installed.
2025-12-23 09:18:25,423 INFO    MainThread:1241464 [wandb_init.py:init():1075] run started, returning control to user process
2025-12-23 09:18:29,389 INFO    MainThread:1241464 [wandb_watch.py:_watch():70] Watching
2025-12-24 07:26:40,616 INFO    MsgRouterThr:1241464 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
