2025-12-29 11:12:22,953 INFO    MainThread:2122840 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_setup.py:_flush():80] Configure stats pid to 2122840
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_setup.py:_flush():80] Loading settings from /nfs/home/students/a.spannagl/.config/wandb/settings
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_setup.py:_flush():80] Loading settings from /nfs/scratch/pinder/negative_dataset/my_repository/scripts/wandb/settings
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /nfs/scratch/pinder/negative_dataset/my_repository/scripts/wandb/run-20251229_111222-5vp85ksc/logs/debug.log
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /nfs/scratch/pinder/negative_dataset/my_repository/scripts/wandb/run-20251229_111222-5vp85ksc/logs/debug-internal.log
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_init.py:init():830] calling init triggers
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'baseline2d', 'dataset': '/nfs/scratch/pinder/negative_dataset/my_repository/datasets/no_duplicates/deleak_cdhit/fully_balanced', 'batch_size': 4, 'epochs': 5, 'weight_decay': 1e-05, 'dropout': 0.5, '_wandb': {}}
2025-12-29 11:12:22,954 INFO    MainThread:2122840 [wandb_init.py:init():871] starting backend
2025-12-29 11:12:23,185 INFO    MainThread:2122840 [wandb_init.py:init():874] sending inform_init request
2025-12-29 11:12:23,192 INFO    MainThread:2122840 [wandb_init.py:init():882] backend started and connected
2025-12-29 11:12:23,193 INFO    MainThread:2122840 [wandb_init.py:init():953] updated telemetry
2025-12-29 11:12:23,200 INFO    MainThread:2122840 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-12-29 11:12:23,884 INFO    MainThread:2122840 [wandb_init.py:init():1029] starting run threads in backend
2025-12-29 11:12:24,048 INFO    MainThread:2122840 [wandb_run.py:_console_start():2458] atexit reg
2025-12-29 11:12:24,048 INFO    MainThread:2122840 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-12-29 11:12:24,048 INFO    MainThread:2122840 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-12-29 11:12:24,048 INFO    MainThread:2122840 [wandb_run.py:_redirect():2398] Redirects installed.
2025-12-29 11:12:24,050 INFO    MainThread:2122840 [wandb_init.py:init():1075] run started, returning control to user process
2025-12-29 11:12:28,436 INFO    MainThread:2122840 [wandb_watch.py:_watch():70] Watching
2025-12-30 06:39:14,734 INFO    MsgRouterThr:2122840 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
